Tree ID,Name,Oxygen_Production (kg/yr),Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2)
1,Acer pseudoplatanus,2.8,3.5,1,1.5,1.8
2,Acer pseudoplatanus,3,5,1.5,1.5,1.8
3,Acer pseudoplatanus,3.4,4.5,1.3,1.5,1.8
4,Acer pseudoplatanus,4.3,5,1.5,2.5,4.9
7,Cupressus,29.5,8,2.4,1.5,1.8
8,Acer pseudoplatanus,3.4,4.5,1.3,1.5,1.8
9,Acer pseudoplatanus,3.8,4,1.2,2,3.1
10,Acer pseudoplatanus,3.8,4,1.2,2,3.1
11,Acer pseudoplatanus,3.3,3.5,1,1.5,1.8
12,Acer pseudoplatanus,3.9,5,1.5,2,3.1
13,Acer platanoides,5.2,5,1.5,2.5,4.9
14,Acer pseudoplatanus,2.9,4,1.2,2,3.1
15,Acer platanoides,4.6,5,1.5,2,3.1
16,Acer pseudoplatanus,3.2,3,0.9,1.5,1.8
17,Acer pseudoplatanus,3.8,4,1.2,2,3.1
18,Acer pseudoplatanus,3.4,4.5,1.3,1.5,1.8
36,Sophora japonica,4.3,5,1.5,2,3.1
37,Tilia cordata,2.2,4.5,1.3,3,7.1
38,Tilia cordata,3.4,5,1.5,3,7.1
39,Tilia cordata,3.4,5,1.5,3,7.1
40,Tilia cordata,1.8,4,1.2,2,3.1
70,Tilia cordata,6.5,6,1.8,6,28.3
71,Tilia cordata,6,7,2.1,6,28.3
72,Tilia cordata,6,7,2.1,6,28.3
73,Tilia cordata,4.7,7,2.1,5,19.6
80,Acer pseudoplatanus,1.7,4,1.2,3,7.1
81,Acer pseudoplatanus,5,6,1.8,3,7.1
82,Acer pseudoplatanus,5,6,1.8,3.5,9.6
83,Acer pseudoplatanus,3.4,5,1.5,2.5,4.9
84,Acer pseudoplatanus,3.9,5,1.5,2.5,4.9
85,Acer pseudoplatanus,3.9,5,1.5,2.5,4.9
86,Acer pseudoplatanus,1.3,5,1.5,2,3.1
87,Acer pseudoplatanus,3.9,5,1.5,3,7.1
88,Acer pseudoplatanus,4.8,5,1.5,3,7.1
89,Acer pseudoplatanus,0.6,5,1.5,1,0.8
90,Acer pseudoplatanus,1.3,5,1.5,2,3.1
91,Acer campestre,1.3,6,1.8,2,3.1
92,Acer campestre,2.3,8,2.4,2,3.1
93,Acer campestre,2.7,4,1.2,3,7.1
94,Acer tataricum ssp. ginnala,2.5,4,1.2,2,3.1
95,Acer tataricum ssp. ginnala,2.5,4,1.2,2,3.1
96,Fagus,5.3,4.5,1.3,1.5,1.8
97,Fagus,5.3,4.5,1.3,1.5,1.8
99,Fagus,6.3,4.5,1.3,1.5,1.8
100,Fagus,6.3,4.5,1.3,1.5,1.8
101,Fagus,6.3,4.5,1.3,1.5,1.8
102,Fagus,6.3,4.5,1.3,1.5,1.8
103,Fagus,6.3,3.5,1,2,3.1
104,Fagus,5.3,4.5,1.3,1.5,1.8
107,Acer campestre,1.5,5,1.5,2,3.1
108,Acer opalus,4.2,5,1.5,2,3.1
114,Tilia cordata,2.2,4.5,1.3,3,7.1
115,Tilia cordata,3,4.5,1.3,2.5,4.9
116,Tilia cordata,2.2,4.5,1.3,1,0.8
117,Tilia cordata,2.2,4.5,1.3,2,3.1
118,Tilia cordata,3.4,5,1.5,3,7.1
119,Tilia cordata,3.4,5,1.5,3,7.1
120,Tilia cordata,3.4,5,1.5,3,7.1
121,Tilia cordata,2.2,4.5,1.3,3,7.1
122,Tilia cordata,2.2,2,0.6,1,0.8
123,Sophora japonica,2.5,5,1.5,2,3.1
124,Sophora japonica,2.5,5,1.5,2,3.1
135,Tilia cordata,1.8,4.5,1.3,2,3.1
137,Tilia cordata,1.8,4.5,1.3,2,3.1
138,Tilia cordata,3.4,5,1.5,3,7.1
139,Tilia cordata,3.4,5,1.5,3,7.1
140,Tilia cordata,2.6,4.5,1.3,2.5,4.9
141,Tilia cordata,3,4.5,1.3,2.5,4.9
142,Tilia cordata,3,4.5,1.3,2.5,4.9
143,Tilia cordata,3,5,1.5,2.5,4.9
144,Tilia cordata,3,4.5,1.3,2.5,4.9
145,Tilia cordata,3.4,5,1.5,2.5,4.9
146,Tilia cordata,3.4,5,1.5,2.5,4.9
147,Tilia cordata,3.4,5,1.5,2.5,4.9
148,Tilia cordata,3.4,5,1.5,3,7.1
149,Tilia cordata,3.4,5,1.5,3,7.1
150,Tilia cordata,3.4,5,1.5,3,7.1
151,Tilia cordata,3.4,5,1.5,2.5,4.9
152,Tilia cordata,3.4,5,1.5,2.5,4.9
170,Sorbus,14.9,5,1.5,4,12.6
171,Sorbus,14.9,5,1.5,3,7.1
172,Sorbus,14.9,5,1.5,4,12.6
173,Sorbus,14.9,5,1.5,4,12.6
174,Sorbus,8.300000000000001,4,1.2,3,7.1
180,Tilia cordata,4.2,6,1.8,4,12.6
181,Tilia cordata,4.2,6,1.8,4,12.6
182,Tilia cordata,7,6,1.8,5,19.6
183,Cupressus,16.3,10,3,1,0.8
184,Cupressus,16.3,10,3,1,0.8
185,Cupressus,16.3,10,3,1,0.8
186,Carpinus betulus,5,4.5,1.3,2,3.1
187,Carpinus betulus,5,4,1.2,1.5,1.8
188,Carpinus betulus,5,5,1.5,4,12.6
189,Carpinus betulus,4.5,4.5,1.3,3,7.1
307,Tilia cordata,3,5,1.5,4,12.6
308,Tilia cordata,3,5,1.5,4,12.6
309,Tilia cordata,3,4,1.2,4,12.6
310,Tilia cordata,3,5,1.5,4,12.6
311,Tilia cordata,3,5,1.5,4,12.6
312,Tilia cordata,3,5,1.5,4,12.6
330,Prunus avium,19,13,3.9,14,153.9
331,Fraxinus,10.6,8,2.4,6,28.3
332,Fraxinus,7.9,6,1.8,4,12.6
333,Fraxinus,7.9,6,1.8,4,12.6
396,Prunus serrulata,10.1,5,1.5,4,12.6
397,Prunus serrulata,19,6,1.8,6,28.3
398,Prunus serrulata,15.9,6,1.8,6,28.3
415,Parrotia persica,3.2,4,1.2,3,7.1
416,Parrotia persica,6.5,7,2.1,5,19.6
417,Parrotia persica,6.5,7,2.1,5,19.6
418,Parrotia persica,6.5,6,1.8,5,19.6
419,Parrotia persica,3.2,6,1.8,4,12.6
420,Parrotia persica,5,6,1.8,5,19.6
422,Parrotia persica,5,6,1.8,5,19.6
423,Parrotia persica,6.5,7,2.1,5,19.6
424,Parrotia persica,3.2,6,1.8,4,12.6
546,Parrotia persica,6.5,7,2.1,6,28.3
616,Carpinus betulus,5,4,1.2,3,7.1
617,Cupressus,22.3,14,4.2,1,0.8
618,Cupressus,22.3,14,4.2,1,0.8
619,Cupressus,22.3,14,4.2,1,0.8
620,Cupressus,22.3,14,4.2,1,0.8
621,Cupressus,22.3,14,4.2,1,0.8
622,Cupressus,22.3,14,4.2,1,0.8
623,Carpinus betulus,5,4,1.2,3,7.1
624,Carpinus betulus,5.6,4.5,1.3,4,12.6
625,Prunus avium,5.6,6,1.8,4,12.6
626,Ostrya carpinifolia,12.3,10,3,5,19.6
627,Ostrya carpinifolia,16.8,10,3,5,19.6
628,Ostrya carpinifolia,10.6,6,1.8,4,12.6
629,Ostrya carpinifolia,16.8,10,3,5,19.6
630,Celtis australis,2.3,6,1.8,6,28.3
631,Celtis australis,2.3,6,1.8,6,28.3
632,Robinia pseudoacacia,68.09999999999999,15,4.5,12,113.1
633,Ostrya carpinifolia,15.9,9,2.7,6,28.3
634,Ostrya carpinifolia,10.6,6,1.8,4,12.6
635,Robinia pseudoacacia,49.6,16,4.8,8,50.3
636,Celtis australis,0.3,6,1.8,6,28.3
637,Celtis australis,2.1,5.5,1.7,5,19.6
638,Celtis australis,2.3,6.5,1.9,6,28.3
639,Betula pendula,9.5,8,2.4,4,12.6
640,Betula pendula,21.5,13,3.9,7,38.5
641,Betula pendula,11.3,9,2.7,5,19.6
642,Robinia pseudoacacia,33.4,14,4.2,10,78.5
643,Robinia pseudoacacia,25.8,14,4.2,12,113.1
644,Celtis australis,2.6,4.5,1.3,5,19.6
645,Celtis australis,2.4,5,1.5,5,19.6
646,Celtis australis,2.4,4.5,1.3,5,19.6
647,Celtis australis,2.2,4.5,1.3,5,19.6
651,Sorbus,2.4,1,0.3,1,0.8
670,Robinia pseudoacacia,10.1,15,4.5,9,63.6
671,Acer platanoides,12.1,12,3.6,5,19.6
672,Acer platanoides,5.8,5,1.5,3,7.1
673,Acer platanoides,17.9,12,3.6,10,78.5
674,Picea abies,10,12,3.6,8,50.3
675,Acer platanoides,20.5,12,3.6,8,50.3
691,Quercus robur,21.4,12,3.6,12,113.1
703,Pinus nigra,11.3,13,3.9,8,50.3
723,Pyrus calleryana,7.5,6,1.8,4,12.6
724,Pyrus calleryana,6.9,5,1.5,3,7.1
725,Pyrus calleryana,6.9,5,1.5,3,7.1
726,Pyrus calleryana,5,5,1.5,3,7.1
727,Liriodendron tulipifera,8,7,2.1,4,12.6
728,Liriodendron tulipifera,7.3,7,2.1,4,12.6
729,Liriodendron tulipifera,8.6,7,2.1,4,12.6
730,Liriodendron tulipifera,8.6,7,2.1,4,12.6
731,Liriodendron tulipifera,8.6,7,2.1,4,12.6
732,Acer campestre,6.3,11,3.3,8,50.3
733,Liriodendron tulipifera,5.5,5,1.5,3,7.1
736,Pinus nigra,12.4,15,4.5,9,63.6
739,Liriodendron tulipifera,10,12,3.6,4,12.6
746,Acer,12.2,8,2.4,6,28.3
747,Juglans,12.6,12,3.6,8,50.3
748,Acacia,3.3,14,4.2,10,78.5
911,Crataegus,2.9,3,0.9,3,7.1
912,Crataegus,2.9,3,0.9,3,7.1
913,Crataegus,3.3,3,0.9,3,7.1
914,Crataegus,3.3,3,0.9,3,7.1
915,Crataegus,3.3,3.5,1,3,7.1
916,Crataegus,3.3,3.5,1,3,7.1
917,Crataegus,2.9,3,0.9,2,3.1
918,Crataegus,3.3,3,0.9,2,3.1
920,Crataegus,2.4,3,0.9,1.5,1.8
921,Crataegus,2.4,3,0.9,1.5,1.8
922,Crataegus,2.4,3,0.9,2,3.1
923,Crataegus,2.4,3,0.9,1.5,1.8
924,Crataegus,2.4,3,0.9,1.5,1.8
925,Crataegus,2.4,3,0.9,1.5,1.8
926,Crataegus,2.4,3,0.9,1.5,1.8
927,Crataegus,2.4,3,0.9,1.5,1.8
928,Crataegus,2.4,3,0.9,1.5,1.8
929,Koelreuteria paniculata,6.7,5,1.5,5,19.6
930,Koelreuteria paniculata,5.6,4,1.2,4,12.6
931,Celtis australis,2.2,4,1.2,4,12.6
932,Celtis australis,2.1,4,1.2,4,12.6
933,Celtis australis,2.1,4,1.2,4,12.6
934,Celtis australis,2.1,4,1.2,4,12.6
935,Celtis australis,2.1,4,1.2,4,12.6
936,Celtis australis,2,4,1.2,4,12.6
938,Pinus,34.9,15,4.5,12,113.1
946,Tilia cordata,5.1,8,2.4,6,28.3
947,Tilia cordata,5.1,8,2.4,6,28.3
948,Tilia cordata,9.6,10,3,8,50.3
949,Abies nordmanniana,18.5,8,2.4,6,28.3
962,Celtis australis,4.2,9,2.7,14,153.9
963,Celtis australis,3.7,8,2.4,12,113.1
964,Celtis australis,3.7,8,2.4,12,113.1
973,Prunus cerasifera,20.7,10,3,8,50.3
985,Cupressus,18.7,10,3,1,0.8
986,Cupressus,40.2,14,4.2,2,3.1
987,Cupressus,52.2,14,4.2,2,3.1
988,Sorbus,4.7,4,1.2,1,0.8
989,Sorbus aucuparia,3.9,4,1.2,1,0.8
1008,Platanus x hispanica,30.3,15,4.5,9,63.6
1018,Corylus colurna,16.3,8,2.4,7,38.5
1019,Corylus colurna,23.7,11,3.3,10,78.5
1038,Prunus serrulata,7.5,4,1.2,4,12.6
1039,Prunus serrulata,5.2,3.5,1,2.5,4.9
1042,Prunus serrulata,11,4,1.2,3,7.1
1043,Prunus serrulata,14.8,5,1.5,4,12.6
1049,Pyrus calleryana,5,6,1.8,3,7.1
1050,Pyrus calleryana,7.5,6.5,1.9,4,12.6
1051,Pyrus calleryana,3.3,5,1.5,2.5,4.9
1052,Pyrus calleryana,6.2,7,2.1,4,12.6
1053,Pyrus calleryana,5.6,6,1.8,3,7.1
1054,Pyrus calleryana,6.9,6.5,1.9,4,12.6
1055,Pyrus calleryana,7.5,7,2.1,4,12.6
1056,Pyrus calleryana,5,6.5,1.9,4,12.6
1057,Pyrus calleryana,5,6.5,1.9,4,12.6
1058,Pyrus calleryana,6.2,6.5,1.9,4,12.6
1059,Pyrus calleryana,6.2,6.5,1.9,4,12.6
1060,Pyrus calleryana,5,6.5,1.9,4,12.6
1061,Pyrus calleryana,8.199999999999999,7,2.1,4,12.6
1062,Pyrus calleryana,7.5,6,1.8,3,7.1
1063,Pyrus calleryana,3.3,4,1.2,1.5,1.8
1064,Pyrus calleryana,5.6,5,1.5,4,12.6
1065,Pyrus calleryana,5.6,6,1.8,4,12.6
1066,Pyrus calleryana,7.5,7,2.1,4,12.6
1067,Pyrus calleryana,7.5,7,2.1,4,12.6
1068,Pyrus calleryana,5,4.5,1.3,2,3.1
1069,Pyrus calleryana,5,5,1.5,4,12.6
1070,Pyrus calleryana,9.699999999999999,7,2.1,4,12.6
1071,Pyrus calleryana,3.3,4,1.2,2,3.1
1072,Pyrus calleryana,2.8,3.5,1,1.5,1.8
1073,Pyrus calleryana,8.9,7,2.1,4,12.6
1074,Pyrus calleryana,5.6,6,1.8,3,7.1
1110,Tilia cordata,6.5,7,2.1,6,28.3
1111,Tilia cordata,6.5,7,2.1,6,28.3
1112,Tilia cordata,6.5,7,2.1,6,28.3
1113,Tilia cordata,6.5,7,2.1,6,28.3
1114,Tilia cordata,6.5,7,2.1,6,28.3
1115,Tilia cordata,5.1,6,1.8,5,19.6
1116,Tilia cordata,5.1,6,1.8,5,19.6
1117,Tilia cordata,5.1,6,1.8,4,12.6
1118,Tilia cordata,5.1,6,1.8,5,19.6
1119,Tilia cordata,7,7,2.1,6,28.3
1120,Tilia cordata,7,7,2.1,6,28.3
1121,Tilia cordata,7,7,2.1,6,28.3
1122,Tilia cordata,4.7,7,2.1,5,19.6
1123,Acer campestre,4.8,8,2.4,9,63.6
1124,Tilia cordata,5.1,6,1.8,4,12.6
1125,Tilia cordata,3,6,1.8,4,12.6
1126,Tilia cordata,6.5,8,2.4,6,28.3
1127,Tilia cordata,5.1,8,2.4,4,12.6
1128,Tilia cordata,5.1,8,2.4,4,12.6
1129,Tilia cordata,5.1,8,2.4,4,12.6
1130,Tilia cordata,6.5,8,2.4,4,12.6
1131,Tilia cordata,6.5,8,2.4,4,12.6
1132,Tilia cordata,2.6,5,1.5,3,7.1
1133,Tilia cordata,6,7,2.1,4,12.6
1134,Tilia cordata,4.2,5,1.5,3,7.1
1135,Morus alba,7.8,6,1.8,8,50.3
1136,Morus alba,7.8,6,1.8,8,50.3
1137,Morus alba,5.2,6,1.8,7,38.5
1138,Morus alba,8.699999999999999,7,2.1,10,78.5
1139,Morus alba,5.6,6,1.8,6,28.3
1140,Morus alba,5.6,6,1.8,6,28.3
1141,Morus alba,5.6,6,1.8,6,28.3
1142,Morus alba,5.6,6,1.8,6,28.3
1143,Morus alba,5.6,6,1.8,6,28.3
1144,Morus alba,5.6,6,1.8,6,28.3
1145,Morus alba,6.5,6,1.8,6,28.3
1146,Morus alba,7.8,7,2.1,7,38.5
1147,Morus alba,6.5,6,1.8,6,28.3
1148,Morus alba,6.5,6,1.8,6,28.3
1149,Morus alba,9.199999999999999,7,2.1,7,38.5
1150,Morus alba,4.4,6,1.8,6,28.3
1151,Morus alba,11.7,8,2.4,8,50.3
1152,Tilia cordata,4.2,7,2.1,4,12.6
1159,Pyrus calleryana,3.9,5,1.5,2,3.1
1160,Pyrus calleryana,5,6,1.8,3,7.1
1161,Pyrus calleryana,5,6,1.8,3,7.1
1162,Pyrus calleryana,5,6,1.8,3,7.1
1163,Acer pseudoplatanus,3.9,5,1.5,2.5,4.9
1164,Carpinus betulus,10.5,12,3.6,3,7.1
1165,Carpinus betulus,10.5,12,3.6,3,7.1
1166,Carpinus betulus,10.5,12,3.6,3,7.1
1167,Carpinus betulus,10.5,8,2.4,3,7.1
1168,Carpinus betulus,10.5,8,2.4,3,7.1
1169,Carpinus betulus,10.5,8,2.4,3,7.1
1170,Carpinus betulus,4.5,6,1.8,3,7.1
1171,Carpinus betulus,4.5,6,1.8,3,7.1
1172,Carpinus betulus,4.5,6,1.8,3,7.1
1173,Carpinus betulus,4.5,6,1.8,3,7.1
1174,Carpinus betulus,4.5,6,1.8,3,7.1
1175,Carpinus betulus,1.7,6,1.8,2,3.1
1176,Carpinus betulus,1.7,6,1.8,2,3.1
1177,Carpinus betulus,1.7,6,1.8,2,3.1
1178,Carpinus betulus,1.7,6,1.8,2,3.1
1179,Carpinus betulus,1.7,6,1.8,2,3.1
1180,Carpinus betulus,1.7,6,1.8,2,3.1
1181,Carpinus betulus,1.7,6,1.8,2,3.1
1182,Carpinus betulus,4.5,8,2.4,3,7.1
1183,Carpinus betulus,10.5,6,1.8,3,7.1
1184,Carpinus betulus,4.5,4,1.2,3,7.1
1185,Carpinus betulus,14.1,15,4.5,4,12.6
1186,Carpinus betulus,16.2,15,4.5,4,12.6
1187,Carpinus betulus,4.5,15,4.5,3,7.1
1188,Carpinus betulus,4.5,8,2.4,3,7.1
1189,Carpinus betulus,10.5,15,4.5,4,12.6
1190,Carpinus betulus,4.5,8,2.4,3,7.1
1191,Carpinus betulus,7.3,8,2.4,4,12.6
1192,Carpinus betulus,3,4,1.2,1.5,1.8
1193,Carpinus betulus,3,4,1.2,1.5,1.8
1194,Carpinus betulus,3,4,1.2,1.5,1.8
1195,Carpinus betulus,3,4,1.2,1.5,1.8
1196,Carpinus betulus,3,4,1.2,1.5,1.8
1197,Carpinus betulus,3,4,1.2,1.5,1.8
1198,Carpinus betulus,3,4,1.2,1.5,1.8
1199,Carpinus betulus,3,4,1.2,1.5,1.8
1200,Carpinus betulus,3,4,1.2,1.5,1.8
1201,Carpinus betulus,3,4,1.2,1.5,1.8
1202,Carpinus betulus,3,4,1.2,1.5,1.8
1203,Celtis australis,2.2,10,3,3,7.1
1204,Celtis australis,2.2,10,3,3,7.1
1205,Celtis australis,2.6,12,3.6,3,7.1
1206,Celtis australis,3.1,18,5.4,5,19.6
1207,Celtis australis,2.6,8,2.4,3,7.1
1208,Celtis australis,2.6,8,2.4,3,7.1
1209,Celtis australis,2.6,8,2.4,3,7.1
1210,Celtis australis,2.2,6,1.8,3,7.1
1211,Cupressus sempervirens,7.7,4,1.2,0.8,0.5
1212,Cupressus sempervirens,7.7,6,1.8,1.2,1.1
1213,Cupressus sempervirens,5.1,8,2.4,1,0.8
1214,Cupressus sempervirens,10.3,12,3.6,1.2,1.1
1215,Diospyros kaki,13.6,10,3,4,12.6
1217,Fraxinus,4.1,4,1.2,2,3.1
1218,Fraxinus,6.3,5,1.5,2,3.1
1219,Fraxinus ornus,2.6,6,1.8,3,7.1
1220,Fraxinus americana,9.9,8,2.4,3,7.1
1221,Fraxinus americana,2.9,4,1.2,2,3.1
1222,Fraxinus americana,1.5,6,1.8,2,3.1
1223,Fraxinus americana,3.9,8,2.4,3,7.1
1224,Fraxinus americana,3.9,8,2.4,3,7.1
1225,Fraxinus americana,1.5,5,1.5,2,3.1
1226,Fraxinus americana,9.9,8,2.4,3,7.1
1227,Fraxinus americana,9.9,8,2.4,3,7.1
1228,Fraxinus americana,6.7,6,1.8,3,7.1
1229,Fraxinus americana,9.9,8,2.4,3,7.1
1230,Fraxinus americana,3.9,6,1.8,3,7.1
1231,Fraxinus americana,3.9,6,1.8,3,7.1
1232,Fraxinus americana,9.9,8,2.4,3,7.1
1233,Fraxinus americana,3.9,6,1.8,3,7.1
1234,Fraxinus americana,9.9,8,2.4,3,7.1
1235,Fraxinus americana,9.9,8,2.4,3,7.1
1236,Fraxinus americana,9.9,8,2.4,3,7.1
1237,Fraxinus americana,3.9,6,1.8,3,7.1
1238,Fraxinus americana,9.9,8,2.4,3,7.1
1239,Fraxinus americana,3.9,6,1.8,3,7.1
1240,Fraxinus ornus,7.3,6.7,2,3,7.1
1241,Fraxinus excelsior,10,6,1.8,4,12.6
1242,Fraxinus excelsior,2.7,5,1.5,1.5,1.8
1243,Fraxinus excelsior,2.7,5,1.5,1.5,1.8
1244,Fraxinus excelsior,2.7,5,1.5,1.5,1.8
1245,Fraxinus excelsior,2.7,5,1.5,1.5,1.8
1246,Fraxinus excelsior,2.7,5,1.5,1.5,1.8
1247,Fraxinus excelsior,2.7,5,1.5,1.5,1.8
1248,Malus sylvestris,18.9,4,1.2,4,12.6
1249,Malus sylvestris,10.6,4,1.2,3,7.1
1250,Morus nigra,1.4,4,1.2,3,7.1
1251,Morus nigra,1.4,4,1.2,3,7.1
1252,Morus nigra,1.4,4,1.2,3,7.1
1253,Morus nigra,1.4,4,1.2,3,7.1
1254,Morus nigra,4.1,4,1.2,4,12.6
1255,Populus nigra,7.8,12,3.6,5,19.6
1256,Populus nigra,12.7,18,5.4,3,7.1
1257,Populus nigra,12.7,18,5.4,3,7.1
1258,Populus nigra,9.1,14,4.2,4,12.6
1259,Populus nigra,9.1,20,6,4,12.6
1260,Populus nigra,9.1,20,6,4,12.6
1261,Populus nigra,9.1,20,6,4,12.6
1262,Populus nigra,9.1,20,6,4,12.6
1263,Populus nigra,9.1,20,6,4,12.6
1264,Populus nigra,16.6,20,6,4,12.6
1265,Populus nigra,9.1,20,6,4,12.6
1266,Prunus domestica,9.199999999999999,4,1.2,3,7.1
1267,Prunus,9.199999999999999,8,2.4,3,7.1
1268,Prunus,5.2,8,2.4,3,7.1
1269,Prunus avium,7,6,1.8,4,12.6
1270,Prunus avium,5.6,6,1.8,4,12.6
1271,Prunus avium,3.2,5,1.5,4,12.6
1272,Prunus avium,3.2,4,1.2,4,12.6
1273,Prunus avium,20.7,5,1.5,4,12.6
1274,Prunus domestica,13.8,4,1.2,3,7.1
1275,Prunus avium,2.6,5,1.5,4,12.6
1276,Prunus avium,2.6,5,1.5,4,12.6
1277,Prunus avium,11.6,12,3.6,3,7.1
1278,Prunus avium,16,12,3.6,3,7.1
1279,Prunus avium,4.3,3.5,1,3,7.1
1280,Prunus avium,2.6,5,1.5,4,12.6
1281,Prunus avium,11.6,6,1.8,3,7.1
1282,Prunus avium,4.3,6,1.8,3,7.1
1283,Prunus avium,4.3,6,1.8,3,7.1
1284,Prunus domestica,5.2,6,1.8,3,7.1
1285,Prunus avium,2.6,5,1.5,4,12.6
1286,Prunus avium,2.6,5,1.5,4,12.6
1287,Prunus avium,2.6,5,1.5,4,12.6
1288,Prunus domestica,5.2,6,1.8,3,7.1
1289,Prunus avium,7.7,8,2.4,3,7.1
1290,Prunus avium,11.6,6,1.8,3,7.1
1291,Prunus avium,11.6,8,2.4,4,12.6
1292,Quercus robur,6.1,2.5,0.8,2,3.1
1293,Quercus robur,16.7,15,4.5,4,12.6
1294,Robinia pseudoacacia,5.9,10,3,3,7.1
1295,Robinia pseudoacacia,5.9,10,3,3,7.1
1296,Robinia pseudoacacia,5.9,10,3,3,7.1
1297,Robinia pseudoacacia,8.800000000000001,14,4.2,3,7.1
1298,Robinia pseudoacacia,5.9,14,4.2,3,7.1
1299,Robinia pseudoacacia,8.800000000000001,10,3,3,7.1
1300,Robinia pseudoacacia,8.800000000000001,10,3,3,7.1
1301,Robinia pseudoacacia,33.4,18,5.4,3,7.1
1302,Sophora japonica,1.3,6,1.8,6,28.3
1303,Sophora japonica,3.5,5,1.5,3.5,9.6
1304,Sophora japonica,3.2,4,1.2,2.5,4.9
1305,Sophora japonica,3.5,5,1.5,3,7.1
1306,Sophora japonica,3.5,5,1.5,3.5,9.6
1307,Sophora japonica,3.5,5,1.5,3.5,9.6
1308,Sophora japonica,3.5,5,1.5,3.5,9.6
1309,Sophora japonica,3.5,5,1.5,3.5,9.6
1310,Sophora japonica,4.7,5,1.5,3.5,9.6
1311,Sophora japonica,4.7,5,1.5,4,12.6
1312,Sophora japonica,2.8,4,1.2,3,7.1
1313,Sophora japonica,2.8,4,1.2,3,7.1
1314,Sophora japonica,2.8,4,1.2,3,7.1
1315,Tilia tomentosa,1.1,4,1.2,2,3.1
1316,Tilia tomentosa,1.1,4,1.2,2,3.1
1317,Tilia tomentosa,1.1,4,1.2,2,3.1
1318,Tilia x europaea,4.4,5,1.5,2.5,4.9
1319,Tilia x europaea,4.4,5,1.5,2.5,4.9
1320,Tilia x europaea,4.4,5,1.5,2.5,4.9
1321,Tilia x europaea,4.4,5,1.5,2.5,4.9
1322,Tilia x europaea,4.4,5,1.5,2.5,4.9
1323,Tilia x europaea,4.4,5,1.5,2.5,4.9
1324,Tilia x europaea,17.9,6,1.8,6,28.3
1325,Tilia x europaea,9,5,1.5,2,3.1
1326,Tilia x europaea,38.2,8,2.4,8,50.3
1327,Tilia x europaea,38.2,8,2.4,8,50.3
1328,Tilia x europaea,38.2,8,2.4,8,50.3
1329,Tilia x europaea,10,12,3.6,5.6,24.3
1330,Tilia x europaea,10,12,3.6,5.6,24.3
1331,Tilia x europaea,10,12,3.6,5.6,24.3
1332,Tilia x europaea,10,12,3.6,5.6,24.3
1333,Tilia x europaea,10,12,3.6,5.6,24.3
1334,Tilia x europaea,10,12,3.6,5.6,24.3
1335,Tilia x europaea,10,12,3.6,5.6,24.3
1336,Tilia x europaea,10,12,3.6,5.6,24.3
1337,Tilia x europaea,9,12,3.6,5.6,24.3
1338,Tilia x europaea,9,12,3.6,5.6,24.3
1339,Tilia x europaea,9,12,3.6,5.6,24.3
1340,Tilia x europaea,8,5,1.5,3,7.1
1341,Tilia x europaea,11.1,12,3.6,3,7.1
1342,Tilia x europaea,24.2,20,6,4,12.6
1343,Tilia x europaea,12.2,10,3,3,7.1
1344,Tilia x europaea,7.1,10,3,3,7.1
1345,Ulmus,25.3,6,1.8,3,7.1
1346,Pyrus communis,14.3,5,1.5,3,7.1
1347,Pyrus communis,17.1,4,1.2,4,12.6
1348,Pyrus communis,14.3,4,1.2,3,7.1
1366,Celtis australis,3,8,2.4,8,50.3
1367,Betula pendula,27.4,10,3,10,78.5
1368,Betula pendula,22.7,8,2.4,8,50.3
1372,Magnolia x soulangeana,4,6,1.8,8,50.3
1373,Parrotia persica,2.4,6,1.8,5,19.6
1374,Parrotia persica,2.4,5.5,1.7,5,19.6
1375,Parrotia persica,2.4,6,1.8,6,28.3
1397,Carpinus betulus,4,4.5,1.3,2.5,4.9
1398,Carpinus betulus,4,4.5,1.3,2.5,4.9
1399,Carpinus betulus,4.5,5,1.5,2,3.1
1400,Carpinus betulus,4.5,5,1.5,3,7.1
1401,Carpinus betulus,4.5,5,1.5,2,3.1
1402,Tilia cordata,1.5,4,1.2,1.5,1.8
1403,Tilia cordata,1.5,4,1.2,1,0.8
1404,Tilia cordata,4.2,6,1.8,4,12.6
1406,Platanus x hispanica,18.8,11,3.3,10,78.5
1407,Carpinus betulus,4,4,1.2,2.5,4.9
1408,Carpinus betulus,5.6,4.5,1.3,3,7.1
1409,Carpinus betulus,4,4.5,1.3,2,3.1
1410,Tilia cordata,3.8,4,1.2,3,7.1
1411,Tilia cordata,2.2,1,0.3,0.5,0.2
1412,Tilia cordata,5.6,6,1.8,6,28.3
1413,Tilia cordata,2.6,5,1.5,1.5,1.8
1414,Tilia cordata,6.5,6,1.8,6,28.3
1415,Tilia cordata,2.2,4.5,1.3,1,0.8
1416,Tilia cordata,2.2,4,1.2,1,0.8
1417,Tilia cordata,2.2,4.5,1.3,1,0.8
1418,Tilia cordata,4.2,4,1.2,4,12.6
1419,Tilia cordata,5.1,5,1.5,4,12.6
1420,Tilia cordata,4.2,5,1.5,4,12.6
1421,Tilia cordata,1.8,4,1.2,1,0.8
1422,Tilia cordata,3.8,4.5,1.3,4,12.6
1423,Tilia cordata,2.2,4,1.2,1.5,1.8
