Tree ID,Name,Oxygen_Production (kg/yr),Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2)
4873,Celtis australis,2.2,12,3.6,4,12.6
4874,Diospyros kaki,7,8,2.4,5,19.6
4875,Morus,2.8,7,2.1,4,12.6
4876,Ostrya carpinifolia,10.6,16,4.8,4,12.6
4877,Prunus cerasifera,20.7,10,3,4,12.6
4878,Pseudotsuga menziesii,20.1,20,6,5,19.6
4879,Quercus robur,10.1,8,2.4,3,7.1
4880,Quercus,18.9,12,3.6,4,12.6
4881,Robinia pseudoacacia,19.7,18,5.4,4,12.6
4882,Robinia pseudoacacia,5.9,9,2.7,3,7.1
4883,Robinia pseudoacacia,12.1,12,3.6,5,19.6
4884,Aesculus hippocastanum,6.1,6,1.8,3,7.1
4885,Aesculus hippocastanum,25.5,8,2.4,6,28.3
4886,Aesculus hippocastanum,16.5,6,1.8,6,28.3
4887,Aesculus hippocastanum,20.8,7,2.1,5,19.6
4888,Aesculus hippocastanum,12.9,8,2.4,4,12.6
4889,Aesculus hippocastanum,47.7,14,4.2,9,63.6
4890,Aesculus hippocastanum,6.1,6,1.8,3,7.1
4891,Aesculus hippocastanum,21,8,2.4,6,28.3
4892,Aesculus hippocastanum,16.7,8,2.4,8,50.3
4893,Quercus rubra,4.6,4,1.2,3,7.1
4895,Quercus rubra,4.6,4,1.2,4,12.6
4896,Quercus rubra,8.199999999999999,5,1.5,5,19.6
4897,Quercus rubra,4.6,4,1.2,4,12.6
4898,Carpinus betulus,9.199999999999999,10,3,6,28.3
4899,Carpinus betulus,7.9,6,1.8,4,12.6
4900,Crataegus x lavallei,3.8,4,1.2,2.3,4
4901,Crataegus x lavallei,3.8,4,1.2,2.3,4
4902,Crataegus x lavallei,3.8,4,1.2,2.3,4
4903,Carpinus betulus,4.5,10,3,3,7.1
4904,Carpinus betulus,4.5,10,3,3,7.1
4905,Carpinus betulus,10.5,12,3.6,3,7.1
4906,Carpinus betulus,10.5,12,3.6,3,7.1
4907,Carpinus betulus,14.1,18,5.4,4,12.6
4908,Carpinus betulus,14.1,20,6,4,12.6
4909,Carpinus betulus,11.7,12,3.6,6,28.3
4910,Carpinus betulus,11.7,12,3.6,8,50.3
4911,Carpinus betulus,6.1,6,1.8,4,12.6
4912,Carpinus betulus,6.1,6,1.8,4,12.6
4913,Carpinus betulus,6.1,6,1.8,4,12.6
4914,Celtis australis,3.1,10,3,9,63.6
4915,Celtis australis,3.1,10,3,9,63.6
4916,Celtis australis,3.3,12,3.6,10,78.5
4917,Celtis australis,3.5,20,6,4,12.6
4918,Celtis australis,2.2,7,2.1,4,12.6
4919,Cupressus sempervirens,7.7,14,4.2,2,3.1
4920,Ligustrum lucidum,3.9,9,2.7,3,7.1
4921,Ligustrum lucidum,1.1,3.5,1,1.5,1.8
4922,Pinus nigra,9.300000000000001,15,4.5,7,38.5
4923,Pinus nigra,16.5,15,4.5,6,28.3
4925,Pinus nigra,8.300000000000001,12,3.6,4,12.6
4927,Platanus x hispanica,0.7,25,7.5,19,283.5
4928,Platanus x hispanica,21.7,26,7.8,22,380.1
4929,Platanus x hispanica,21.7,26,7.8,23,415.5
4930,Platanus x hispanica,21.7,25,7.5,22,380.1
4931,Platanus x hispanica,97.2,20,6,12,113.1
4932,Platanus x hispanica,14.6,20,6,12,113.1
4933,Platanus x hispanica,93.09999999999999,21,6.3,16,201.1
4934,Populus nigra,21.7,25,7.5,15,176.7
4935,Populus nigra,82.59999999999999,24,7.2,20,314.2
4936,Ulmus minor,13.3,22,6.6,26,530.9
4937,Ulmus,69.09999999999999,4,1.2,8.800000000000001,60.3
4939,Acer negundo,21.2,10,3,8,50.3
4940,Acer negundo,20.5,10,3,8,50.3
4941,Acer,8.5,9,2.7,3,7.1
4942,Aesculus hippocastanum,2.4,3,0.9,3,7.1
4943,Carpinus betulus,6.1,6,1.8,4,12.6
4944,Carpinus betulus,17.9,5,1.5,5,19.6
4945,Juglans regia,24.2,12,3.6,11,95
4946,Acer negundo,5.3,6,1.8,5,19.6
4947,Acer negundo,7,6,1.8,6,28.3
4948,Acer negundo,5.3,6,1.8,6,28.3
4949,Acer negundo,5.3,6,1.8,2,3.1
4950,Sophora japonica,5.5,6,1.8,8,50.3
4951,Acer rubrum,6.7,4,1.2,2,3.1
4952,Acer negundo,6.8,5,1.5,5,19.6
4953,Acer buergerianum,11.2,6,1.8,7,38.5
4954,Acer buergerianum,4.7,5,1.5,4,12.6
4955,Acer pseudoplatanus,6.6,7,2.1,10,78.5
4956,Prunus avium,10,8,2.4,6,28.3
4957,Prunus avium,10.8,6,1.8,8,50.3
4967,Paulownia tomentosa,24.1,7,2.1,7,38.5
4968,Fraxinus ornus,7.3,6.7,2,4.9,19.2
4969,Fraxinus ornus,7.3,6.7,2,4.9,19.2
4970,Fraxinus ornus,7.3,6.7,2,4.9,19.2
4971,Fraxinus ornus,7.3,6.7,2,4.9,19.2
4972,Fraxinus ornus,7.3,6.7,2,4.9,19.2
4973,Prunus mahaleb,12.9,6,1.8,8,50.3
4974,Prunus mahaleb,12.9,6,1.8,8,50.3
4975,Prunus mahaleb,12.9,6,1.8,8,50.3
4976,Aesculus hippocastanum,8,7.5,2.3,4,12.6
4978,Aesculus hippocastanum,6.9,8,2.4,3.5,9.6
4979,Aesculus hippocastanum,11.1,12,3.6,3.5,9.6
4980,Celtis australis,3.4,10,3,8,50.3
4981,Celtis australis,3.9,8,2.4,10,78.5
4982,Diospyros lotus,20.5,9.800000000000001,2.9,4.8,18.3
4983,Platanus x hispanica,17.9,10,3,10,78.5
4984,Platanus x hispanica,16,10,3,11,95
4985,Platanus x hispanica,7.9,6.5,1.9,5,19.6
4986,Platanus x hispanica,7.2,6.5,1.9,5,19.6
4988,Tilia cordata,13,10,3,10,78.5
4989,Quercus,9.5,5,1.5,4,12.6
4992,Cedrus deodara,52.5,25,7.5,9,63.6
4993,Cercis siliquastrum,4.3,5,1.5,4,12.6
4994,Cercis siliquastrum,4.3,4,1.2,4,12.6
4996,Juglans,12.6,6,1.8,13,132.7
4997,Ulmus,27.4,13,3.9,14,153.9
4998,Celtis australis,5.2,14,4.2,12,113.1
4999,Celtis australis,4.7,12.5,3.8,10,78.5
5000,Fraxinus excelsior,5.2,5,1.5,2,3.1
5001,Fraxinus excelsior,4.1,4,1.2,2,3.1
5002,Crataegus x lavallei,3.3,4,1.2,1,0.8
5003,Crataegus x lavallei,5.4,4,1.2,3,7.1
5004,Fraxinus ornus,7.3,6.7,2,4.9,19.2
5005,Fraxinus ornus,7.3,6.7,2,4.9,19.2
5006,Fraxinus ornus,7.3,6.7,2,4.9,19.2
5007,Fraxinus ornus,7.3,6.7,2,4.9,19.2
5008,Fraxinus ornus,7.3,6.7,2,4.9,19.2
5009,Fraxinus ornus,7.3,6.7,2,4.9,19.2
5010,Fraxinus ornus,7.3,6.7,2,4.9,19.2
5011,Fraxinus ornus,7.3,6.7,2,4.9,19.2
5012,Fraxinus ornus,7.3,6.7,2,4.9,19.2
5015,Quercus robur,9.4,6,1.8,2,3.1
5016,Quercus robur,9.4,6,1.8,2,3.1
5017,Quercus robur,9.4,6,1.8,2,3.1
5018,Quercus robur,10.8,7,2.1,3,7.1
5019,Celtis australis,3.4,10,3,12,113.1
5024,Ulmus,9.699999999999999,6,1.8,5,19.6
5025,Prunus laurocerasus,15.6,8,2.4,14,153.9
5028,Tilia x europaea,33.8,10,3,9,63.6
5029,Tilia x europaea,28.2,10,3,8,50.3
5030,Tilia x europaea,48.8,10,3,10,78.5
5031,Fraxinus ornus,7.3,6.7,2,4.9,19.2
5032,Fraxinus ornus,7.3,6.7,2,4.9,19.2
5033,Fraxinus ornus,7.3,6.7,2,4.9,19.2
5034,Fraxinus ornus,7.3,6.7,2,4.9,19.2
5035,Pinus nigra,9.800000000000001,10.7,3.2,5.3,22.1
5036,Ulmus,69.09999999999999,12.4,3.7,8.800000000000001,60.3
5037,Ulmus,69.09999999999999,12.4,3.7,8.800000000000001,60.3
5038,Pinus nigra,9.800000000000001,10.7,3.2,5.3,22.1
5039,Pinus nigra,9.800000000000001,10.7,3.2,5.3,22.1
5040,Prunus,10.1,6,1.8,4,12.6
5041,Prunus,15.9,8,2.4,6,28.3
5042,Quercus robur,11,6,1.8,3.9,12
5067,Fraxinus excelsior,4.6,4,1.2,2,3.1
5068,Ulmus,90.8,13,3.9,12,113.1
5071,Nerium oleander,3,3.5,1,1,0.8
5072,Nerium oleander,4,4,1.2,2,3.1
5073,Ligustrum,5.4,4,1.2,3,7.1
5074,Nerium oleander,4.9,3,0.9,2,3.1
5075,Nerium oleander,4,4,1.2,2,3.1
5077,Platanus x hispanica,4.1,3,0.9,2,3.1
5078,Magnolia grandiflora,3.2,3,0.9,2,3.1
5079,Magnolia grandiflora,3.2,3,0.9,2,3.1
5080,Magnolia grandiflora,3.2,3,0.9,2,3.1
5081,Ilex aquifolium,2.8,3.5,1,2,3.1
5082,Ilex aquifolium,2.8,3.5,1,2,3.1
5083,Pyrus calleryana,3.9,4,1.2,2,3.1
5084,Morus alba,9.699999999999999,9,2.7,14,153.9
5086,Cupressus sempervirens,5.1,6,1.8,1,0.8
5090,Cupressus sempervirens,4,5,1.5,1,0.8
5091,Fagus sylvatica,2.1,4,1.2,1,0.8
5092,Fagus sylvatica,1,3.5,1,1,0.8
5093,Tilia cordata,2.2,4,1.2,1.5,1.8
5094,Fagus sylvatica,1.4,4,1.2,1,0.8
5095,Fagus sylvatica,0.7,3,0.9,0.5,0.2
5096,Cupressus sempervirens,4.5,6,1.8,1,0.8
5097,Cupressus sempervirens,3.5,5,1.5,0.5,0.2
5099,Cupressus sempervirens,4,5,1.5,1,0.8
5100,Cupressus sempervirens,4,5,1.5,1,0.8
5101,Fagus sylvatica,1,3.5,1,0.5,0.2
5102,Tilia cordata,3,5,1.5,3,7.1
5103,Tilia cordata,3,4.5,1.3,2,3.1
5105,Cupressus sempervirens,4.5,6,1.8,1,0.8
5106,Quercus robur,2.8,2.5,0.8,1,0.8
5107,Quercus robur,4.8,4,1.2,1,0.8
5108,Quercus robur,4.1,4,1.2,1,0.8
5109,Quercus robur,4.1,4,1.2,1,0.8
5110,Quercus robur,4.1,4,1.2,1,0.8
5111,Quercus robur,4.1,4,1.2,1,0.8
5112,Fraxinus excelsior,4.1,4,1.2,2,3.1
5113,Quercus robur,4.8,4,1.2,1,0.8
5114,Quercus robur,5.4,3.5,1,2,3.1
5115,Quercus robur,3.5,4,1.2,1.5,1.8
5116,Quercus robur,5.4,4.5,1.3,2,3.1
5117,Quercus robur,6.1,4,1.2,1.5,1.8
5119,Cupressus sempervirens,5.6,5,1.5,1,0.8
5123,Lagerstroemia indica,1.6,2.5,0.8,1,0.8
5125,Lagerstroemia indica,1.6,2.5,0.8,1,0.8
5127,Lagerstroemia indica,1.6,2.5,0.8,1,0.8
5128,Lagerstroemia indica,1.6,2.5,0.8,1,0.8
5129,Lagerstroemia indica,1.6,2.5,0.8,2,3.1
5130,Quercus rubra,3.6,4,1.2,2.5,4.9
5131,Quercus rubra,5.2,6,1.8,4,12.6
5132,Quercus rubra,6.3,5,1.5,4,12.6
5133,Quercus rubra,6.3,5,1.5,4,12.6
